english,chinese
武汉,Wuhan
黄冈,Huanggang
孝感,Xiaogan
襄阳,Xiangyang
荆州,Jingzhou
随州,Suizhou
黄石,Yellowstone
宜昌,Yichang
荆门,Jingmen
咸宁,Xianning
鄂州,Ezhou
十堰,Shiyan
仙桃,Xiantao
恩施州,Enshi
天门,Tianmen
潜江,Qianjiang
神农架林区,Shennongjia
深圳,Shenzhen
广州,Canton
珠海,Zhuhai
佛山,Foshan
东莞,Dongguan
中山,Zhongshan
惠州,Huizhou
汕头,Shantou
湛江,Zhanjiang
肇庆,Zhaoqing
阳江,Yangjiang
清远,Qingyuan
梅州,Meizhou
江门,Jiangmen
揭阳,Jieyang
韶关,Shaoguan
茂名,Maoming
汕尾,Shanwei
潮州,Chaozhou
河源,Heyuan
温州,Wenzhou
杭州,Hangzhou
台州,Taizhou
宁波,Ningbo
金华,Jinhua
绍兴,Shaoxing
嘉兴,Jiaxing
丽水,Lishui
衢州,Quzhou
湖州,Huzhou
舟山,Zhoushan
信阳市,Xinyang City
南阳市,Nanyang City
郑州市,Zhengzhou City
驻马店市,Zhumadian City
商丘市,Shangqiu City
周口市,Zhoukou City
新乡市,Xinxiang
安阳市,Anyang City
平顶山市,Pingdingshan
许昌市,Xuchang City
漯河市,Luohe
开封市,Kaifeng
洛阳市,Luoyang City
焦作市,Jiaozuo City
鹤壁市,Hebi City
三门峡市,Sanmenxia City
濮阳市,Puyang City
济源示范区,Jiyuan demonstration area
长沙市,Changsha City
岳阳市,Yueyang City
邵阳市,Shaoyang City
常德市,Changde City
娄底市,Loudi
益阳市,Yiyang City
衡阳市,Hengyang City
株洲市,Zhuzhou City
怀化市,Huaihua City
永州市,Yongzhou
郴州市,Chenzhou City
湘潭市,Xiangtan City
湘西自治州,Xiangxi Autonomous Prefecture
张家界市,Zhangjiajie
南昌,Nanchang
九江,Jiujiang
上饶,Shangrao
新余,Xinyu
赣州,Ganzhou
宜春,Yichun
抚州,Fuzhou
萍乡,Pingxiang
吉安,Ji'an
鹰潭,Yingtan
景德镇,Jingdezhen
合肥,Hefei
阜阳,Fuyang
亳州,Bozhou
安庆,Anqing
蚌埠,Bengbu
六安,Lu'an
马鞍山,Ma'anshan
宿州,Suzhou
芜湖,Wuhu
铜陵,Tongling
淮北,Huaibei
淮南,Huainan
滁州,Chuzhou
池州,Chizhou
黄山,Huangshan
宣城,Xuancheng
万州,Wanzhou
九龙坡,Jiulongpo
开州,Open state
云阳,Yunyang
渝中,Yuzhong
江北,Jiangbei
垫江,Dianjiang
忠县,Zhong County
两江新区,Liangjiang New Area
渝北,Yubei
长寿,longevity
綦江,Qijiang
石柱,Stone
合川,Aikawa
奉节,Fengjie
巫溪,Wuxi
南岸,South coast
璧山,Bishan
荣昌,Rongchang
巫山,Wushan
大渡口,Dadukou
大足,Dazu
铜梁,Tongliang
潼南,Tongnan
丰都,Fengdu
江津,Jiangjin
高新区,High-tech Zone
涪陵,Fuling
巴南,Banan
永川,Yongchuan
梁平,Liangping
黔江,Qianjiang
沙坪坝,Shapingba
城口,City population
彭水,Pengshui
武隆,Wulong
酉阳,Youyang
秀山,Xiushan
苏州,Suzhou
南京,Nanjing
徐州,Xuzhou
无锡,Wuxi
淮安,Huaian
泰州,Taizhou
南通,Nantong
常州,Changzhou
连云港,Lianyungang
盐城,Yancheng
扬州,Yangzhou
宿迁,Suqian
镇江,Zhenjiang
青岛,Qingdao
